method,variable,bias,rmse,mae
Bayesian PCA,gf3,-0.012547692123317305,0.7350433633955039,0.598170410229236
Bayesian PCA,gf4,0.012585612332457722,0.9680215051852091,0.7744922571633965
Bayesian PCA,gf5,0.005637264508407693,1.0840877132559466,0.8975499310434781
Bayesian PCA,gf6,0.006211354887846658,0.830839452044562,0.6737366164398351
Bayesian PCA,gf7,-0.0028064922387735147,0.8875077630716925,0.7273050500606256
Bayesian PCA,gp1,-0.007209851515067543,0.8540984624989083,0.7208001414703055
Bayesian PCA,gp2,0.0022889126755022884,0.7192381914102619,0.5616047273289705
Bayesian PCA,gp3,0.002411221286564565,0.9233629737436191,0.7030685992358423
Bayesian PCA,gp4,-0.008839724286498823,0.950794895371307,0.7934489480028596
Bayesian PCA,gp5,0.0010918557392280513,0.89590045633553,0.6360336048339078
Bayesian PCA,gp6,0.001660821226622587,0.8075041623317282,0.6434942914344646
Bayesian PCA,gp7,-0.005171210800030574,0.7946910878538908,0.620380219175737
Bayesian PCA,gs1,-0.019082603783994682,0.9194166233122679,0.744818471872123
Bayesian PCA,gs2,0.0017851647120624367,0.6531914916366967,0.4928462169577728
Bayesian PCA,gs3,0.0002249807086609423,0.8253574347716205,0.6210084547856557
Bayesian PCA,gs4,0.009818263644531042,0.9289239468238766,0.700187551262791
Bayesian PCA,gs5,0.0076697837198424195,0.7634422573352067,0.5529582577371193
Bayesian PCA,gs6,0.003479406501026964,0.995684175118595,0.6630562487263423
Bayesian PCA,gs7,-0.00043099301893500955,1.3501023401770076,1.1426701739507037
DAE,a_act11,-0.0075684032838684275,0.9809359456936442,0.7862355737720972
DAE,a_c2,0.0017437594980861618,1.1934821515675038,0.9959587782536086
DAE,a_c6,-0.011512459630518019,1.0639827868689433,0.8578219432958729
DAE,a_e1,-0.009552165524115582,1.2769435410148007,1.0812122477803192
DAE,a_e2,-0.006603366230528721,1.0879370793761793,0.8611124564488234
DAE,a_e3,-0.005417308388103173,0.8825845745396657,0.6467597815690559
DAE,a_e4,-0.011980896140680935,1.0247695208622183,0.8095666056418619
DAE,a_e5,0.00029567102933460886,0.9467036726327591,0.7256850077124273
DAE,a_e6,0.02268067305914481,1.1358478043525775,0.9257338130357635
DAE,a_e7,-0.0052958854658040734,0.9561331003889456,0.732883921196509
DAE,a_hn1,0.019145516000355745,1.0844074032778863,0.8948603163939037
DAE,a_hn10,0.008564398241871087,0.8029502730792041,0.5813729575084974
DAE,a_hn2,0.004921086004108929,1.1321974294788253,0.9634182652425509
DAE,a_hn3,-0.0031071910758405773,0.8487238128461027,0.6597171142784332
DAE,a_hn4,0.01010758091916959,1.375567176601423,1.1441072560457322
DAE,a_hn5,-0.0007319133404234932,1.1052728280956894,0.9068722643053067
DAE,a_hn7,0.008115944624741264,1.2191195963457957,1.0023055657899032
DAE,ge1,0.013448643247197491,0.9096348753041111,0.7555788964808734
DAE,ge2,-0.003715014722133471,1.211895617655279,0.9784978196244585
DAE,ge3,-0.006937750389278517,0.9452509488805929,0.7060764175939388
DAE,ge4,-0.009126114550071741,1.111284700664143,0.9218850197808616
DAE,ge5,-0.0312452426737273,1.1726505337650834,0.9687208075853692
DAE,ge6,-0.013076588065975775,1.1461465593057312,0.9562397933932477
DAE,gf1,0.002274213203013421,1.0680749511489185,0.866863427907765
DAE,gf2,0.011342416144517569,1.0991741372540758,0.8795592719171327
DAE,gf3,-0.01997294077471073,0.7729073135581712,0.6166053446112427
DAE,gf4,0.0009922244140544618,1.0571100233138229,0.8422043292834762
DAE,gf5,0.005002278265568447,1.0595229419145533,0.8750382307198047
DAE,gf6,-0.005695228014558778,0.8883998507361426,0.7217555746188543
DAE,gf7,-0.007088641911364973,0.8795717681438253,0.7200365649078959
DAE,gp1,-0.02440091147427626,0.8683822382677224,0.7292726564443552
DAE,gp2,-0.0085230746197872,0.7020944103835719,0.5405631411137732
DAE,gp3,0.008917891162468527,0.9424306019038151,0.7136143729005395
DAE,gp4,-0.010088816537647231,1.0049837725261146,0.829124174561195
DAE,gp5,0.005539491851377639,0.9004043072513012,0.64714964247814
DAE,gp6,-0.007411928278853248,0.8144118331290736,0.627561382740236
DAE,gp7,-0.0011917136516282842,0.7710100716838133,0.5883557572915993
DAE,gs1,-0.008304831577485986,0.9450131116710639,0.7731433931951756
DAE,gs2,0.013310056622245959,0.7131014488751254,0.5458943993939619
DAE,gs3,0.012602404939627186,0.8772534907337352,0.678240860865585
DAE,gs4,0.002956952943162073,0.9922312676396523,0.77029290405132
DAE,gs5,0.0031376340459324044,0.8582123583098012,0.6357942905078031
DAE,gs6,-0.005548042702879092,1.006725170001678,0.6816178495141589
DAE,gs7,0.01303872596316115,1.3669819226858566,1.1667197181809057
Da Xu DL,a_act11,-0.7334334334334335,1.2175509343668778,0.734034034034034
Da Xu DL,a_c2,-1.4666484666484667,2.0352310049210303,1.467922467922468
Da Xu DL,a_c6,-2.301392301392301,2.6782118780183732,2.3030303030303028
Da Xu DL,a_e1,-1.8814268814268813,2.464949884981625,1.8816088816088816
Da Xu DL,a_e2,-1.0111930111930112,1.5917245927178494,1.0117390117390117
Da Xu DL,a_e3,-0.5831386942498054,1.0865888469119993,0.5864753642531421
Da Xu DL,a_e4,-0.8758758758758759,1.4418616600692962,0.876057876057876
